Year,Country,Population,Sugar,Female_BMI,Male_BMI,Av_BMI,GDP,Life_Expectency,Continent
1989,Ireland,0.019134969879032078,0.5797185780787135,0.7528386578562409,0.8572447222995139,0.8026274658960354,0.15352276022035372,0.9024390243902439,Europe
1990,Ireland,0.019144506923338064,0.6811785865425307,0.7550951326286072,0.859133926274999,0.8047087978229928,0.1746883154537547,0.9024390243902439,Europe
1991,Ireland,0.019182300483703306,0.6232014388489209,0.7570400903549346,0.861134298590267,0.8066801814695584,0.18396636706291677,0.9146341463414634,Europe
1992,Ireland,0.019247861618701415,0.6811785865425307,0.7592734786859676,0.863391542128525,0.8089249457904787,0.19092490576978835,0.9146341463414634,Europe
1993,Ireland,0.019339787979845705,0.7101671603893356,0.7611578719817851,0.865412964070261,0.8108746848397633,0.2002029573789504,0.9146341463414634,Europe
1994,Ireland,0.019453507158852013,0.7101671603893356,0.7632380502930628,0.8676481712808105,0.8130287928039556,0.2162945781385909,0.9146341463414634,Europe
1995,Ireland,0.01958631117243571,0.6521900126957259,0.7653359182152322,0.8700524333039296,0.8152727729003368,0.23688025514641925,0.9146341463414634,Europe
1996,Ireland,0.01973793674444412,0.5797185780787135,0.7677282132203757,0.8730612142871709,0.8179590556368099,0.25993041461293126,0.926829268292683,Europe
1997,Ireland,0.01991244584980419,0.5797185780787135,0.7710136836635844,0.8766551091061341,0.8213916064447573,0.2839953609741954,0.926829268292683,Europe
1998,Ireland,0.020116167862145467,0.5507300042319087,0.7740326106477665,0.8801690811246026,0.8246466088170366,0.3119744853580748,0.926829268292683,Europe
1999,Ireland,0.02035724285026997,0.5797185780787135,0.7770638304123988,0.8835343901561421,0.827837147932196,0.32719628877935636,0.926829268292683,Europe
2000,Ireland,0.020640710671957416,0.6087071519255184,0.7801394241162165,0.8870128409299461,0.8311048547420097,0.3619889823137141,0.926829268292683,Europe
2001,Ireland,0.02096370215444195,0.6087071519255184,0.7829145942587918,0.8904202492144213,0.8341815244540817,0.3776456944041751,0.9390243902439024,Europe
2002,Ireland,0.021321139829064896,0.6087071519255184,0.785279305463901,0.8937349075822728,0.8369992432233198,0.4009857929834735,0.9390243902439024,Europe
2003,Ireland,0.021712147899644912,0.6087071519255184,0.7875516709036783,0.8967075095200224,0.8396055350567975,0.4315743693824297,0.9512195121951219,Europe
2004,Ireland,0.022135469088228422,0.6087071519255184,0.7895008261647933,0.8993364105256025,0.8418788451509436,0.45723398086401856,0.9512195121951219,Europe
1980,Israel,0.02012003103671223,0.5217414303851037,0.7307473320918624,0.8146392916274453,0.7707534437260076,0.10452305015946652,0.8902439024390244,Asia
1981,Israel,0.02049937973481676,0.5072471434617013,0.7331243360774218,0.8155322562502589,0.772422744080085,0.11974485358074805,0.8902439024390244,Asia
1982,Israel,0.02086623087514342,0.5072471434617013,0.7356761374045023,0.817219186471405,0.774562108622941,0.1226442447086112,0.9024390243902439,Asia
1983,Israel,0.021224576583843947,0.5217414303851037,0.7384863869449472,0.8187877125436698,0.7767802093095294,0.12931284430269643,0.9024390243902439,Asia
1984,Israel,0.021579128966752913,0.5507300042319087,0.7413089292658421,0.8203934043626666,0.7790224641119246,0.133516961438098,0.9024390243902439,Asia
1985,Israel,0.021936711711908963,0.565224291155311,0.7443830238500928,0.8219122664724838,0.7813549047363241,0.13873586546825167,0.9024390243902439,Asia
